,1,2,3,4,5
Biomass 01,29.088,29.0896,0.0,0.0,0.0
Biomass 02,29.088,29.0896,0.0,0.0,0.0
Biomass 03,29.088,29.0816,0.0,0.0,0.0
Biomass 04,29.088,29.0816,0.0,0.0,0.0
Biomass 05,29.088,32.002707692307695,0.0,0.0,0.0
Biomass 06,29.088,32.002707692307695,0.0,0.0,0.0
Biomass 07,29.088,31.9984,0.0,0.0,0.0
Biomass 08,29.088,31.999288888888888,0.0,0.0,0.0
Biomass 09,29.088,31.999288888888888,0.0,0.0,0.0
Biomass 10,29.088,31.999288888888888,0.0,0.0,0.0
Biomass 11,29.088,32.073464788732394,0.0,0.0,0.0
Biomass 12,29.088,32.073464788732394,0.0,0.0,0.0
Biomass 13,29.088,32.073464788732394,0.0,0.0,0.0
Biomass 14,29.088,32.073171974522296,0.0,0.0,0.0
Biomass 15,29.088,31.984246153846154,0.0,0.0,0.0
Biomass 16,29.088,31.984246153846154,0.0,0.0,0.0
Biomass 17,29.088,31.984246153846154,0.0,0.0,0.0
Biomass 18,29.088,31.984246153846154,0.0,0.0,0.0
Biomass 19,29.087999999999997,32.017066666666665,0.0,0.0,0.0
Biomass 20,29.087999999999997,32.017066666666665,0.0,0.0,0.0
Biomass 21,29.087999999999997,32.017066666666665,0.0,0.0,0.0
Biomass 22,29.087999999999997,32.017066666666665,0.0,0.0,0.0
Biomass 23,29.087999999999997,32.0064,0.0,0.0,0.0
Biomass 24,29.087999999999997,32.0064,0.0,0.0,0.0
Biomass 25,29.087999999999997,32.0064,0.0,0.0,0.0
Biomass 26,28.366151999999992,29.813256000000006,33.15527999999999,33.4882632,0.0
Biomass 27,28.366151999999992,29.813256000000006,33.15527999999999,33.4882632,0.0
Biomass 28,28.366151999999992,29.813256000000006,33.15527999999999,33.4882632,0.0
Biomass 29,28.366151999999992,29.813256000000006,33.15527999999999,33.4882632,0.0
Biomass 30,28.366151999999992,29.813256000000006,33.15527999999999,33.4882632,0.0
Biomass 31,28.366151999999992,29.813256000000006,33.15527999999999,33.4882632,0.0
Biomass 32,29.087999999999994,29.09002105263158,0.0,0.0,0.0
Biomass 33,28.452,28.4514,0.0,0.0,0.0
Biomass 34,28.452,28.4514,0.0,0.0,0.0
Biomass 35,28.452,28.4514,0.0,0.0,0.0
Biomass 36,28.452,28.4514,0.0,0.0,0.0
Biomass 37,29.088,29.230484210526313,0.0,0.0,0.0
Biomass 38,29.087999999999994,31.98618947368421,0.0,0.0,0.0
Biomass 39,29.087999999999994,31.98618947368421,0.0,0.0,0.0
Biomass 40,29.087999999999994,31.98618947368421,0.0,0.0,0.0
Biomass 41,29.088,29.15540425531915,0.0,0.0,0.0
